filenames,true,prediction
data\Tx\cleaned\LTX0013.tsv,1.0,0.5054372549057007
data\Tx\cleaned\LTX0001.tsv,1.0,0.49828487634658813
data\Tx\cleaned\LTX0196.tsv,1.0,0.49615544080734253
data\Tx\cleaned\LTX0163.tsv,1.0,0.4935802221298218
data\Tx\cleaned\LTX0015.tsv,1.0,0.506669282913208
data\Tx\cleaned\LTX0251.tsv,1.0,0.5016238689422607
data\Tx\cleaned\LTX0206.tsv,1.0,0.4983668327331543
data\Tx\cleaned\LTX0058.tsv,1.0,0.4945146441459656
data\Tx\cleaned\LTX0135.tsv,1.0,0.49978014826774597
data\Tx\cleaned\LTX0079.tsv,1.0,0.49350976943969727
data\Tx\cleaned\LTX0250.tsv,1.0,0.5001435279846191
data\Tx\cleaned\LTX0201.tsv,1.0,0.49385562539100647
data\tcvhcw\cleaned\TCV0032.tsv,0.0,0.49054235219955444
data\tcvhcw\cleaned\TCV0069.tsv,0.0,0.4899865984916687
data\tcvhcw\cleaned\HCW0043.tsv,0.0,0.49234357476234436
data\tcvhcw\cleaned\TCV0048.tsv,0.0,0.4874367415904999
data\tcvhcw\cleaned\HCW0024.tsv,0.0,0.4846554100513458
data\tcvhcw\cleaned\HCW0175.tsv,0.0,0.48510390520095825
data\tcvhcw\cleaned\TCV0068.tsv,0.0,0.4885653257369995
data\tcvhcw\cleaned\TCV0047.tsv,0.0,0.49156540632247925
data\tcvhcw\cleaned\HCW0020.tsv,0.0,0.48260459303855896
data\tcvhcw\cleaned\HCW0014.tsv,0.0,0.4884658753871918
data\tcvhcw\cleaned\TCV0043.tsv,0.0,0.48861995339393616
data\tcvhcw\cleaned\TCV0082.tsv,0.0,0.49345508217811584
data\tcvhcw\cleaned\HCW0052.tsv,0.0,0.48936399817466736
data\tcvhcw\cleaned\HCW0056.tsv,0.0,0.4879271686077118
data\tcvhcw\cleaned\HCW0058.tsv,0.0,0.48802903294563293
data\tcvhcw\cleaned\HCW0032.tsv,0.0,0.48915207386016846
data\tcvhcw\cleaned\HCW0004.tsv,0.0,0.49021807312965393
