filenames,true,prediction
data\Tx\cleaned\LTX0110.tsv,1.0,0.49990811944007874
data\Tx\cleaned\LTX0031.tsv,1.0,0.49963560700416565
data\Tx\cleaned\LTX0203.tsv,1.0,0.4989529252052307
data\Tx\cleaned\LTX0092.tsv,1.0,0.4993271231651306
data\Tx\cleaned\LTX0021.tsv,1.0,0.5000538229942322
data\Tx\cleaned\LTX0144.tsv,1.0,0.49893346428871155
data\Tx\cleaned\LTX0103.tsv,1.0,0.5015767216682434
data\Tx\cleaned\LTX0032.tsv,1.0,0.49983251094818115
data\Tx\cleaned\LTX0111.tsv,1.0,0.49928581714630127
data\Tx\cleaned\LTX0074.tsv,1.0,0.4997703433036804
data\Tx\cleaned\LTX0348.tsv,1.0,0.4991745352745056
data\Tx\cleaned\LTX0080.tsv,1.0,0.49866271018981934
data\tcvhcw\cleaned\HCW0042.tsv,0.0,0.4988844394683838
data\tcvhcw\cleaned\HCW0006.tsv,0.0,0.49915796518325806
data\tcvhcw\cleaned\HCW0017.tsv,0.0,0.4985853135585785
data\tcvhcw\cleaned\TCV0054.tsv,0.0,0.49895137548446655
data\tcvhcw\cleaned\HCW0086.tsv,0.0,0.4995560944080353
data\tcvhcw\cleaned\TCV0070.tsv,0.0,0.499282568693161
data\tcvhcw\cleaned\HCW0048.tsv,0.0,0.4994698464870453
data\tcvhcw\cleaned\TCV0062.tsv,0.0,0.5003402233123779
data\tcvhcw\cleaned\TCV0058.tsv,0.0,0.4998944103717804
data\tcvhcw\cleaned\TCV0066.tsv,0.0,0.49879390001296997
data\tcvhcw\cleaned\HCW0037.tsv,0.0,0.4992061257362366
data\tcvhcw\cleaned\TCV0035.tsv,0.0,0.49945372343063354
data\tcvhcw\cleaned\TCV0045.tsv,0.0,0.49917691946029663
data\tcvhcw\cleaned\TCV0067.tsv,0.0,0.4995555579662323
data\tcvhcw\cleaned\HCW0053.tsv,0.0,0.49945366382598877
data\tcvhcw\cleaned\HCW0125.tsv,0.0,0.4992837905883789
data\tcvhcw\cleaned\HCW0003.tsv,0.0,0.4990330636501312
