filenames,true,prediction
data\Tx\cleaned\LTX0110.tsv,1.0,0.5128889083862305
data\Tx\cleaned\LTX0031.tsv,1.0,0.5062340497970581
data\Tx\cleaned\LTX0203.tsv,1.0,0.47673916816711426
data\Tx\cleaned\LTX0092.tsv,1.0,0.4939561188220978
data\Tx\cleaned\LTX0021.tsv,1.0,0.49761444330215454
data\Tx\cleaned\LTX0144.tsv,1.0,0.49709904193878174
data\Tx\cleaned\LTX0103.tsv,1.0,0.5131301879882812
data\Tx\cleaned\LTX0032.tsv,1.0,0.5209487676620483
data\Tx\cleaned\LTX0111.tsv,1.0,0.48779523372650146
data\Tx\cleaned\LTX0074.tsv,1.0,0.5083356499671936
data\Tx\cleaned\LTX0348.tsv,1.0,0.47960126399993896
data\Tx\cleaned\LTX0080.tsv,1.0,0.5269739031791687
data\tcvhcw\cleaned\HCW0042.tsv,0.0,0.4849580228328705
data\tcvhcw\cleaned\HCW0006.tsv,0.0,0.4764760732650757
data\tcvhcw\cleaned\HCW0017.tsv,0.0,0.48860856890678406
data\tcvhcw\cleaned\TCV0054.tsv,0.0,0.4904015064239502
data\tcvhcw\cleaned\HCW0086.tsv,0.0,0.4791030287742615
data\tcvhcw\cleaned\TCV0070.tsv,0.0,0.4873451590538025
data\tcvhcw\cleaned\HCW0048.tsv,0.0,0.4727649986743927
data\tcvhcw\cleaned\TCV0062.tsv,0.0,0.4880847930908203
data\tcvhcw\cleaned\TCV0058.tsv,0.0,0.48710814118385315
data\tcvhcw\cleaned\TCV0066.tsv,0.0,0.5033971071243286
data\tcvhcw\cleaned\HCW0037.tsv,0.0,0.48000842332839966
data\tcvhcw\cleaned\TCV0035.tsv,0.0,0.47845882177352905
data\tcvhcw\cleaned\TCV0045.tsv,0.0,0.4766984283924103
data\tcvhcw\cleaned\TCV0067.tsv,0.0,0.4806610345840454
data\tcvhcw\cleaned\HCW0053.tsv,0.0,0.47909048199653625
data\tcvhcw\cleaned\HCW0125.tsv,0.0,0.4778180420398712
data\tcvhcw\cleaned\HCW0003.tsv,0.0,0.48118314146995544
