filenames,true,prediction
data\Tx\cleaned\LTX0097.tsv,1.0,0.5147768259048462
data\Tx\cleaned\LTX0210.tsv,1.0,0.5522220134735107
data\Tx\cleaned\LTX0055.tsv,1.0,0.5272883176803589
data\Tx\cleaned\LTX0109.tsv,1.0,0.5391701459884644
data\Tx\cleaned\LTX0041.tsv,1.0,0.5215190052986145
data\Tx\cleaned\LTX0149.tsv,1.0,0.5235863924026489
data\Tx\cleaned\LTX0102.tsv,1.0,0.547417402267456
data\Tx\cleaned\LTX0162.tsv,1.0,0.5417049527168274
data\Tx\cleaned\LTX0033.tsv,1.0,0.5264756679534912
data\Tx\cleaned\LTX0223.tsv,1.0,0.5484625101089478
data\Tx\cleaned\LTX0036.tsv,1.0,0.5125024914741516
data\Tx\cleaned\LTX0145.tsv,1.0,0.5182312726974487
data\tcvhcw\cleaned\TCV0063.tsv,0.0,0.5180070400238037
data\tcvhcw\cleaned\TCV0051.tsv,0.0,0.5157379508018494
data\tcvhcw\cleaned\TCV0060.tsv,0.0,0.5253748297691345
data\tcvhcw\cleaned\TCV0056.tsv,0.0,0.5182921290397644
data\tcvhcw\cleaned\HCW0046.tsv,0.0,0.514319121837616
data\tcvhcw\cleaned\TCV0055.tsv,0.0,0.5122114419937134
data\tcvhcw\cleaned\HCW0082.tsv,0.0,0.5120592713356018
data\tcvhcw\cleaned\HCW0098.tsv,0.0,0.5149691104888916
data\tcvhcw\cleaned\HCW0021.tsv,0.0,0.5136851668357849
data\tcvhcw\cleaned\TCV0072.tsv,0.0,0.5147160291671753
data\tcvhcw\cleaned\HCW0019.tsv,0.0,0.5172719359397888
data\tcvhcw\cleaned\TCV0057.tsv,0.0,0.5127552151679993
data\tcvhcw\cleaned\TCV0052.tsv,0.0,0.5174686908721924
data\tcvhcw\cleaned\TCV0064.tsv,0.0,0.5193642973899841
data\tcvhcw\cleaned\HCW0030.tsv,0.0,0.5057098865509033
data\tcvhcw\cleaned\HCW0158.tsv,0.0,0.5136440396308899
data\tcvhcw\cleaned\HCW0026.tsv,0.0,0.5132805109024048
