filenames,true,prediction
data\Tx\cleaned\LTX0110.tsv,1.0,0.5119249820709229
data\Tx\cleaned\LTX0031.tsv,1.0,0.46441543102264404
data\Tx\cleaned\LTX0203.tsv,1.0,0.4505576193332672
data\Tx\cleaned\LTX0092.tsv,1.0,0.4481261670589447
data\Tx\cleaned\LTX0021.tsv,1.0,0.4665702283382416
data\Tx\cleaned\LTX0144.tsv,1.0,0.44489261507987976
data\Tx\cleaned\LTX0103.tsv,1.0,0.4821295142173767
data\Tx\cleaned\LTX0032.tsv,1.0,0.4403991103172302
data\Tx\cleaned\LTX0111.tsv,1.0,0.4462687373161316
data\Tx\cleaned\LTX0074.tsv,1.0,0.5062898993492126
data\Tx\cleaned\LTX0348.tsv,1.0,0.4498213231563568
data\Tx\cleaned\LTX0080.tsv,1.0,0.4990220069885254
data\tcvhcw\cleaned\HCW0042.tsv,0.0,0.4283164143562317
data\tcvhcw\cleaned\HCW0006.tsv,0.0,0.45600053668022156
data\tcvhcw\cleaned\HCW0017.tsv,0.0,0.41606971621513367
data\tcvhcw\cleaned\TCV0054.tsv,0.0,0.448159396648407
data\tcvhcw\cleaned\HCW0086.tsv,0.0,0.4321947991847992
data\tcvhcw\cleaned\TCV0070.tsv,0.0,0.4109509289264679
data\tcvhcw\cleaned\HCW0048.tsv,0.0,0.44099485874176025
data\tcvhcw\cleaned\TCV0062.tsv,0.0,0.4515664279460907
data\tcvhcw\cleaned\TCV0058.tsv,0.0,0.4641322195529938
data\tcvhcw\cleaned\TCV0066.tsv,0.0,0.5283769369125366
data\tcvhcw\cleaned\HCW0037.tsv,0.0,0.421536386013031
data\tcvhcw\cleaned\TCV0035.tsv,0.0,0.44074758887290955
data\tcvhcw\cleaned\TCV0045.tsv,0.0,0.43347781896591187
data\tcvhcw\cleaned\TCV0067.tsv,0.0,0.4298357665538788
data\tcvhcw\cleaned\HCW0053.tsv,0.0,0.42909306287765503
data\tcvhcw\cleaned\HCW0125.tsv,0.0,0.4359248876571655
data\tcvhcw\cleaned\HCW0003.tsv,0.0,0.4397525191307068
