filenames,true,prediction
data\Tx\cleaned\LTX0110.tsv,1.0,0.5009523630142212
data\Tx\cleaned\LTX0031.tsv,1.0,0.5040673613548279
data\Tx\cleaned\LTX0203.tsv,1.0,0.4953227639198303
data\Tx\cleaned\LTX0092.tsv,1.0,0.5018867254257202
data\Tx\cleaned\LTX0021.tsv,1.0,0.5011440515518188
data\Tx\cleaned\LTX0144.tsv,1.0,0.5043467879295349
data\Tx\cleaned\LTX0103.tsv,1.0,0.5058468580245972
data\Tx\cleaned\LTX0032.tsv,1.0,0.5081269145011902
data\Tx\cleaned\LTX0111.tsv,1.0,0.5052813291549683
data\Tx\cleaned\LTX0074.tsv,1.0,0.5076708197593689
data\Tx\cleaned\LTX0348.tsv,1.0,0.5016268491744995
data\Tx\cleaned\LTX0080.tsv,1.0,0.5092032551765442
data\tcvhcw\cleaned\HCW0042.tsv,0.0,0.49302932620048523
data\tcvhcw\cleaned\HCW0006.tsv,0.0,0.49762463569641113
data\tcvhcw\cleaned\HCW0017.tsv,0.0,0.4962821304798126
data\tcvhcw\cleaned\TCV0054.tsv,0.0,0.4990267753601074
data\tcvhcw\cleaned\HCW0086.tsv,0.0,0.4952838122844696
data\tcvhcw\cleaned\TCV0070.tsv,0.0,0.4990376830101013
data\tcvhcw\cleaned\HCW0048.tsv,0.0,0.4895382523536682
data\tcvhcw\cleaned\TCV0062.tsv,0.0,0.5005872845649719
data\tcvhcw\cleaned\TCV0058.tsv,0.0,0.4938943088054657
data\tcvhcw\cleaned\TCV0066.tsv,0.0,0.4975284934043884
data\tcvhcw\cleaned\HCW0037.tsv,0.0,0.4993738532066345
data\tcvhcw\cleaned\TCV0035.tsv,0.0,0.4993031322956085
data\tcvhcw\cleaned\TCV0045.tsv,0.0,0.4999905824661255
data\tcvhcw\cleaned\TCV0067.tsv,0.0,0.49875983595848083
data\tcvhcw\cleaned\HCW0053.tsv,0.0,0.4976358711719513
data\tcvhcw\cleaned\HCW0125.tsv,0.0,0.490793377161026
data\tcvhcw\cleaned\HCW0003.tsv,0.0,0.4962657392024994
