filenames,true,prediction
data\Tx\cleaned\LTX0181.tsv,1.0,0.5016337037086487
data\Tx\cleaned\LTX0068.tsv,1.0,0.5077017545700073
data\Tx\cleaned\LTX0064.tsv,1.0,0.5018004179000854
data\Tx\cleaned\LTX0046.tsv,1.0,0.5047290325164795
data\Tx\cleaned\LTX0060.tsv,1.0,0.5024995803833008
data\Tx\cleaned\LTX0073.tsv,1.0,0.49966323375701904
data\Tx\cleaned\LTX0022.tsv,1.0,0.49889427423477173
data\Tx\cleaned\LTX0185.tsv,1.0,0.5037193298339844
data\Tx\cleaned\LTX0170.tsv,1.0,0.5036584138870239
data\Tx\cleaned\LTX0309.tsv,1.0,0.5009175539016724
data\Tx\cleaned\LTX0249.tsv,1.0,0.503157377243042
data\Tx\cleaned\LTX0076.tsv,1.0,0.5024541616439819
data\tcvhcw\cleaned\TCV0041.tsv,0.0,0.4967033267021179
data\tcvhcw\cleaned\TCV0025.tsv,0.0,0.49925291538238525
data\tcvhcw\cleaned\TCV0081.tsv,0.0,0.5009145140647888
data\tcvhcw\cleaned\HCW0078.tsv,0.0,0.49972227215766907
data\tcvhcw\cleaned\HCW0025.tsv,0.0,0.496608167886734
data\tcvhcw\cleaned\TCV0079.tsv,0.0,0.5002170205116272
data\tcvhcw\cleaned\TCV0078.tsv,0.0,0.501244843006134
data\tcvhcw\cleaned\HCW0049.tsv,0.0,0.49790117144584656
data\tcvhcw\cleaned\TCV0049.tsv,0.0,0.49659430980682373
data\tcvhcw\cleaned\TCV0061.tsv,0.0,0.4984000325202942
data\tcvhcw\cleaned\TCV0080.tsv,0.0,0.5003185272216797
data\tcvhcw\cleaned\TCV0059.tsv,0.0,0.5004729628562927
data\tcvhcw\cleaned\TCV0033.tsv,0.0,0.4997442364692688
data\tcvhcw\cleaned\TCV0044.tsv,0.0,0.49866628646850586
data\tcvhcw\cleaned\HCW0087.tsv,0.0,0.49618983268737793
data\tcvhcw\cleaned\TCV0042.tsv,0.0,0.4975941777229309
data\tcvhcw\cleaned\HCW0186.tsv,0.0,0.4971286654472351
