filenames,true,prediction
data\Tx\cleaned\LTX0013.tsv,1.0,0.49972501397132874
data\Tx\cleaned\LTX0001.tsv,1.0,0.49771973490715027
data\Tx\cleaned\LTX0196.tsv,1.0,0.4978768229484558
data\Tx\cleaned\LTX0163.tsv,1.0,0.49649059772491455
data\Tx\cleaned\LTX0015.tsv,1.0,0.4988551139831543
data\Tx\cleaned\LTX0251.tsv,1.0,0.49871915578842163
data\Tx\cleaned\LTX0206.tsv,1.0,0.49743637442588806
data\Tx\cleaned\LTX0058.tsv,1.0,0.4957747459411621
data\Tx\cleaned\LTX0135.tsv,1.0,0.5001930594444275
data\Tx\cleaned\LTX0079.tsv,1.0,0.49690335988998413
data\Tx\cleaned\LTX0250.tsv,1.0,0.49756383895874023
data\Tx\cleaned\LTX0201.tsv,1.0,0.49671974778175354
data\tcvhcw\cleaned\TCV0032.tsv,0.0,0.4964064657688141
data\tcvhcw\cleaned\TCV0069.tsv,0.0,0.49486464262008667
data\tcvhcw\cleaned\HCW0043.tsv,0.0,0.49615707993507385
data\tcvhcw\cleaned\TCV0048.tsv,0.0,0.4961673319339752
data\tcvhcw\cleaned\HCW0024.tsv,0.0,0.49639078974723816
data\tcvhcw\cleaned\HCW0175.tsv,0.0,0.494625449180603
data\tcvhcw\cleaned\TCV0068.tsv,0.0,0.4963162839412689
data\tcvhcw\cleaned\TCV0047.tsv,0.0,0.4963113069534302
data\tcvhcw\cleaned\HCW0020.tsv,0.0,0.4944859445095062
data\tcvhcw\cleaned\HCW0014.tsv,0.0,0.49686068296432495
data\tcvhcw\cleaned\TCV0043.tsv,0.0,0.496060848236084
data\tcvhcw\cleaned\TCV0082.tsv,0.0,0.49691030383110046
data\tcvhcw\cleaned\HCW0052.tsv,0.0,0.49459779262542725
data\tcvhcw\cleaned\HCW0056.tsv,0.0,0.495514452457428
data\tcvhcw\cleaned\HCW0058.tsv,0.0,0.49541595578193665
data\tcvhcw\cleaned\HCW0032.tsv,0.0,0.4957667887210846
data\tcvhcw\cleaned\HCW0004.tsv,0.0,0.495759516954422
