filenames,true,prediction
data\Tx\cleaned\LTX0110.tsv,1.0,0.5482053756713867
data\Tx\cleaned\LTX0031.tsv,1.0,0.546297013759613
data\Tx\cleaned\LTX0203.tsv,1.0,0.543912410736084
data\Tx\cleaned\LTX0092.tsv,1.0,0.5450236797332764
data\Tx\cleaned\LTX0021.tsv,1.0,0.5463675260543823
data\Tx\cleaned\LTX0144.tsv,1.0,0.5447465777397156
data\Tx\cleaned\LTX0103.tsv,1.0,0.5479587912559509
data\Tx\cleaned\LTX0032.tsv,1.0,0.5477504730224609
data\Tx\cleaned\LTX0111.tsv,1.0,0.5447745323181152
data\Tx\cleaned\LTX0074.tsv,1.0,0.5465211868286133
data\Tx\cleaned\LTX0348.tsv,1.0,0.5438224673271179
data\Tx\cleaned\LTX0080.tsv,1.0,0.5506404042243958
data\tcvhcw\cleaned\HCW0042.tsv,0.0,0.5436087846755981
data\tcvhcw\cleaned\HCW0006.tsv,0.0,0.5435235500335693
data\tcvhcw\cleaned\HCW0017.tsv,0.0,0.5435705780982971
data\tcvhcw\cleaned\TCV0054.tsv,0.0,0.5443302392959595
data\tcvhcw\cleaned\HCW0086.tsv,0.0,0.5432078838348389
data\tcvhcw\cleaned\TCV0070.tsv,0.0,0.5424702167510986
data\tcvhcw\cleaned\HCW0048.tsv,0.0,0.5437830090522766
data\tcvhcw\cleaned\TCV0062.tsv,0.0,0.543890118598938
data\tcvhcw\cleaned\TCV0058.tsv,0.0,0.5443458557128906
data\tcvhcw\cleaned\TCV0066.tsv,0.0,0.5461465120315552
data\tcvhcw\cleaned\HCW0037.tsv,0.0,0.5435664057731628
data\tcvhcw\cleaned\TCV0035.tsv,0.0,0.5437567830085754
data\tcvhcw\cleaned\TCV0045.tsv,0.0,0.5427165627479553
data\tcvhcw\cleaned\TCV0067.tsv,0.0,0.544618546962738
data\tcvhcw\cleaned\HCW0053.tsv,0.0,0.5435874462127686
data\tcvhcw\cleaned\HCW0125.tsv,0.0,0.5437744855880737
data\tcvhcw\cleaned\HCW0003.tsv,0.0,0.5429567694664001
