filenames,true,prediction
data\Tx\cleaned\LTX0181.tsv,1.0,0.5106087923049927
data\Tx\cleaned\LTX0068.tsv,1.0,0.5089244842529297
data\Tx\cleaned\LTX0064.tsv,1.0,0.49683305621147156
data\Tx\cleaned\LTX0046.tsv,1.0,0.5080022811889648
data\Tx\cleaned\LTX0060.tsv,1.0,0.5125799179077148
data\Tx\cleaned\LTX0073.tsv,1.0,0.49658912420272827
data\Tx\cleaned\LTX0022.tsv,1.0,0.48710864782333374
data\Tx\cleaned\LTX0185.tsv,1.0,0.5026692748069763
data\Tx\cleaned\LTX0170.tsv,1.0,0.5108779072761536
data\Tx\cleaned\LTX0309.tsv,1.0,0.4982384741306305
data\Tx\cleaned\LTX0249.tsv,1.0,0.5029606223106384
data\Tx\cleaned\LTX0076.tsv,1.0,0.5084659457206726
data\tcvhcw\cleaned\TCV0041.tsv,0.0,0.4954809844493866
data\tcvhcw\cleaned\TCV0025.tsv,0.0,0.4940846562385559
data\tcvhcw\cleaned\TCV0081.tsv,0.0,0.4958440363407135
data\tcvhcw\cleaned\HCW0078.tsv,0.0,0.49882158637046814
data\tcvhcw\cleaned\HCW0025.tsv,0.0,0.48531097173690796
data\tcvhcw\cleaned\TCV0079.tsv,0.0,0.49673885107040405
data\tcvhcw\cleaned\TCV0078.tsv,0.0,0.5026228427886963
data\tcvhcw\cleaned\HCW0049.tsv,0.0,0.4897368252277374
data\tcvhcw\cleaned\TCV0049.tsv,0.0,0.4934491515159607
data\tcvhcw\cleaned\TCV0061.tsv,0.0,0.4914567172527313
data\tcvhcw\cleaned\TCV0080.tsv,0.0,0.5029224753379822
data\tcvhcw\cleaned\TCV0059.tsv,0.0,0.49564844369888306
data\tcvhcw\cleaned\TCV0033.tsv,0.0,0.4967363476753235
data\tcvhcw\cleaned\TCV0044.tsv,0.0,0.49667397141456604
data\tcvhcw\cleaned\HCW0087.tsv,0.0,0.48954910039901733
data\tcvhcw\cleaned\TCV0042.tsv,0.0,0.49297335743904114
data\tcvhcw\cleaned\HCW0186.tsv,0.0,0.49818071722984314
