filenames,true,prediction
data\Tx\cleaned\LTX0181.tsv,1.0,0.48217329382896423
data\Tx\cleaned\LTX0068.tsv,1.0,0.4809567928314209
data\Tx\cleaned\LTX0064.tsv,1.0,0.47836920619010925
data\Tx\cleaned\LTX0046.tsv,1.0,0.481368750333786
data\Tx\cleaned\LTX0060.tsv,1.0,0.48442786931991577
data\Tx\cleaned\LTX0073.tsv,1.0,0.47684139013290405
data\Tx\cleaned\LTX0022.tsv,1.0,0.4792875647544861
data\Tx\cleaned\LTX0185.tsv,1.0,0.4811893105506897
data\Tx\cleaned\LTX0170.tsv,1.0,0.4820285141468048
data\Tx\cleaned\LTX0309.tsv,1.0,0.4791392982006073
data\Tx\cleaned\LTX0249.tsv,1.0,0.4809843897819519
data\Tx\cleaned\LTX0076.tsv,1.0,0.48338526487350464
data\tcvhcw\cleaned\TCV0041.tsv,0.0,0.4787936210632324
data\tcvhcw\cleaned\TCV0025.tsv,0.0,0.472040057182312
data\tcvhcw\cleaned\TCV0081.tsv,0.0,0.4797815978527069
data\tcvhcw\cleaned\HCW0078.tsv,0.0,0.4748729169368744
data\tcvhcw\cleaned\HCW0025.tsv,0.0,0.47372591495513916
data\tcvhcw\cleaned\TCV0079.tsv,0.0,0.4765439033508301
data\tcvhcw\cleaned\TCV0078.tsv,0.0,0.47976210713386536
data\tcvhcw\cleaned\HCW0049.tsv,0.0,0.4771242141723633
data\tcvhcw\cleaned\TCV0049.tsv,0.0,0.4758538007736206
data\tcvhcw\cleaned\TCV0061.tsv,0.0,0.4764285087585449
data\tcvhcw\cleaned\TCV0080.tsv,0.0,0.4786584973335266
data\tcvhcw\cleaned\TCV0059.tsv,0.0,0.4765642583370209
data\tcvhcw\cleaned\TCV0033.tsv,0.0,0.4791159927845001
data\tcvhcw\cleaned\TCV0044.tsv,0.0,0.4772627055644989
data\tcvhcw\cleaned\HCW0087.tsv,0.0,0.4758793115615845
data\tcvhcw\cleaned\TCV0042.tsv,0.0,0.47804829478263855
data\tcvhcw\cleaned\HCW0186.tsv,0.0,0.4732990264892578
