filenames,true,prediction
data\Tx\cleaned\LTX0097.tsv,1.0,0.4858042895793915
data\Tx\cleaned\LTX0210.tsv,1.0,0.55174720287323
data\Tx\cleaned\LTX0055.tsv,1.0,0.47522714734077454
data\Tx\cleaned\LTX0109.tsv,1.0,0.5254213213920593
data\Tx\cleaned\LTX0041.tsv,1.0,0.49036160111427307
data\Tx\cleaned\LTX0149.tsv,1.0,0.5006504058837891
data\Tx\cleaned\LTX0102.tsv,1.0,0.5500218272209167
data\Tx\cleaned\LTX0162.tsv,1.0,0.5342342853546143
data\Tx\cleaned\LTX0033.tsv,1.0,0.5069224834442139
data\Tx\cleaned\LTX0223.tsv,1.0,0.5425294637680054
data\Tx\cleaned\LTX0036.tsv,1.0,0.4761854112148285
data\Tx\cleaned\LTX0145.tsv,1.0,0.5028817057609558
data\tcvhcw\cleaned\TCV0063.tsv,0.0,0.5052477121353149
data\tcvhcw\cleaned\TCV0051.tsv,0.0,0.5020222663879395
data\tcvhcw\cleaned\TCV0060.tsv,0.0,0.5046510100364685
data\tcvhcw\cleaned\TCV0056.tsv,0.0,0.4829521179199219
data\tcvhcw\cleaned\HCW0046.tsv,0.0,0.48500770330429077
data\tcvhcw\cleaned\TCV0055.tsv,0.0,0.4844205379486084
data\tcvhcw\cleaned\HCW0082.tsv,0.0,0.4814332127571106
data\tcvhcw\cleaned\HCW0098.tsv,0.0,0.4827021360397339
data\tcvhcw\cleaned\HCW0021.tsv,0.0,0.48212218284606934
data\tcvhcw\cleaned\TCV0072.tsv,0.0,0.4902770519256592
data\tcvhcw\cleaned\HCW0019.tsv,0.0,0.48079442977905273
data\tcvhcw\cleaned\TCV0057.tsv,0.0,0.4902847409248352
data\tcvhcw\cleaned\TCV0052.tsv,0.0,0.4949835538864136
data\tcvhcw\cleaned\TCV0064.tsv,0.0,0.4894576966762543
data\tcvhcw\cleaned\HCW0030.tsv,0.0,0.48136812448501587
data\tcvhcw\cleaned\HCW0158.tsv,0.0,0.48133400082588196
data\tcvhcw\cleaned\HCW0026.tsv,0.0,0.4957081973552704
