filenames,true,prediction
data\Tx\cleaned\LTX0013.tsv,1.0,0.4015226364135742
data\Tx\cleaned\LTX0001.tsv,1.0,0.4013640284538269
data\Tx\cleaned\LTX0196.tsv,1.0,0.40179574489593506
data\Tx\cleaned\LTX0163.tsv,1.0,0.4008839428424835
data\Tx\cleaned\LTX0015.tsv,1.0,0.4026653468608856
data\Tx\cleaned\LTX0251.tsv,1.0,0.4013028144836426
data\Tx\cleaned\LTX0206.tsv,1.0,0.4011491537094116
data\Tx\cleaned\LTX0058.tsv,1.0,0.3989662230014801
data\Tx\cleaned\LTX0135.tsv,1.0,0.3975740075111389
data\Tx\cleaned\LTX0079.tsv,1.0,0.39899900555610657
data\Tx\cleaned\LTX0250.tsv,1.0,0.40324634313583374
data\Tx\cleaned\LTX0201.tsv,1.0,0.40030401945114136
data\tcvhcw\cleaned\TCV0032.tsv,0.0,0.40007784962654114
data\tcvhcw\cleaned\TCV0069.tsv,0.0,0.39956018328666687
data\tcvhcw\cleaned\HCW0043.tsv,0.0,0.3977821171283722
data\tcvhcw\cleaned\TCV0048.tsv,0.0,0.39861974120140076
data\tcvhcw\cleaned\HCW0024.tsv,0.0,0.3992871940135956
data\tcvhcw\cleaned\HCW0175.tsv,0.0,0.39823660254478455
data\tcvhcw\cleaned\TCV0068.tsv,0.0,0.39885780215263367
data\tcvhcw\cleaned\TCV0047.tsv,0.0,0.3986629247665405
data\tcvhcw\cleaned\HCW0020.tsv,0.0,0.39816814661026
data\tcvhcw\cleaned\HCW0014.tsv,0.0,0.39875760674476624
data\tcvhcw\cleaned\TCV0043.tsv,0.0,0.3994055688381195
data\tcvhcw\cleaned\TCV0082.tsv,0.0,0.39868101477622986
data\tcvhcw\cleaned\HCW0052.tsv,0.0,0.3991137444972992
data\tcvhcw\cleaned\HCW0056.tsv,0.0,0.3982901871204376
data\tcvhcw\cleaned\HCW0058.tsv,0.0,0.39909788966178894
data\tcvhcw\cleaned\HCW0032.tsv,0.0,0.39996621012687683
data\tcvhcw\cleaned\HCW0004.tsv,0.0,0.39859241247177124
